2021-08-19 22:20:53 configure libpciaccess0:amd64 0.16-0ubuntu1 <none>
2021-08-19 22:20:53 status unpacked libpciaccess0:amd64 0.16-0ubuntu1
2021-08-19 22:20:53 status half-configured libpciaccess0:amd64 0.16-0ubuntu1
2021-08-19 22:20:53 status installed libpciaccess0:amd64 0.16-0ubuntu1
2021-08-19 22:20:53 configure libdrm-nouveau2:amd64 2.4.105-3~20.04.1 <none>
2021-08-19 22:20:53 status unpacked libdrm-nouveau2:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:53 status half-configured libdrm-nouveau2:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:53 status installed libdrm-nouveau2:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:53 configure libxcb-xfixes0:amd64 1.14-2 <none>
2021-08-19 22:20:53 status unpacked libxcb-xfixes0:amd64 1.14-2
2021-08-19 22:20:53 status half-configured libxcb-xfixes0:amd64 1.14-2
2021-08-19 22:20:53 status installed libxcb-xfixes0:amd64 1.14-2
2021-08-19 22:20:53 configure libxpm4:amd64 1:3.5.12-1 <none>
2021-08-19 22:20:53 status unpacked libxpm4:amd64 1:3.5.12-1
2021-08-19 22:20:53 status half-configured libxpm4:amd64 1:3.5.12-1
2021-08-19 22:20:53 status installed libxpm4:amd64 1:3.5.12-1
2021-08-19 22:20:53 configure libxi6:amd64 2:1.7.10-0ubuntu1 <none>
2021-08-19 22:20:53 status unpacked libxi6:amd64 2:1.7.10-0ubuntu1
2021-08-19 22:20:53 status half-configured libxi6:amd64 2:1.7.10-0ubuntu1
